<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20230327;030000;76.85
USDRUB;D;20230328;030000;76.5715
USDRUB;D;20230329;030000;77.323
USDRUB;D;20230330;030000;77.2731
USDRUB;D;20230331;030000;77.976
USDRUB;D;20230402;030000;76.98
USDRUB;D;20230403;030000;78.6548
USDRUB;D;20230404;030000;79.2984
USDRUB;D;20230405;030000;80.1949
USDRUB;D;20230406;030000;81.175
USDRUB;D;20230407;030000;80.53
USDRUB;D;20230409;030000;80.53
USDRUB;D;20230410;030000;81.63
USDRUB;D;20230411;030000;81.0874
USDRUB;D;20230412;030000;82.0464
USDRUB;D;20230413;030000;81.6961
USDRUB;D;20230414;030000;82.2773
USDRUB;D;20230416;030000;82.251
USDRUB;D;20230417;030000;82.0464
USDRUB;D;20230418;030000;81.7992
USDRUB;D;20230419;030000;81.6964
USDRUB;D;20230420;030000;81.7946
USDRUB;D;20230421;030000;81.876
USDRUB;D;20230423;030000;81.876
USDRUB;D;20230424;030000;81.4771
USDRUB;D;20230425;030000;81.6914
USDRUB;D;20230426;030000;81.7957
USDRUB;D;20230427;030000;81.8452
USDRUB;D;20230428;030000;79.43
USDRUB;D;20230430;030000;79.951
USDRUB;D;20230501;030000;79.68
USDRUB;D;20230502;030000;80.1068
USDRUB;D;20230503;030000;79.4982
USDRUB;D;20230504;030000;78.6448
USDRUB;D;20230505;030000;77.785
USDRUB;D;20230507;030000;76.79
USDRUB;D;20230508;030000;77.7224
USDRUB;D;20230509;030000;77.9931
USDRUB;D;20230510;030000;76.1112
USDRUB;D;20230511;030000;76.994
USDRUB;D;20230512;030000;77.6739
USDRUB;D;20230514;030000;76.66
USDRUB;D;20230515;030000;79.748
USDRUB;D;20230516;030000;80.4807
USDRUB;D;20230517;030000;79.7477
USDRUB;D;20230518;030000;80.3976
USDRUB;D;20230519;030000;80.0947
USDRUB;D;20230521;030000;80.525
USDRUB;D;20230522;030000;80.4968
USDRUB;D;20230523;030000;80.1563
USDRUB;D;20230524;030000;80.0961
USDRUB;D;20230525;030000;80.001
USDRUB;D;20230526;030000;78.9945
USDRUB;D;20230528;030000;77.98
USDRUB;D;20230529;030000;80.2457
USDRUB;D;20230530;030000;75.1764
USDRUB;D;20230531;030000;81.5487
USDRUB;D;20230601;030000;80.9981
USDRUB;D;20230602;030000;80.7903
USDRUB;D;20230604;030000;80.775
USDRUB;D;20230605;030000;80.5934
USDRUB;D;20230606;030000;81.3424
USDRUB;D;20230607;030000;81.544
USDRUB;D;20230608;030000;82.0133
USDRUB;D;20230609;030000;82.7213
USDRUB;D;20230611;030000;81.705
USDRUB;D;20230612;030000;83.8699
USDRUB;D;20230613;030000;83.9463
USDRUB;D;20230614;030000;83.9935
USDRUB;D;20230615;030000;83.4741
USDRUB;D;20230616;030000;83.8729
USDRUB;D;20230618;030000;82.855
USDRUB;D;20230619;030000;83.8446
USDRUB;D;20230620;030000;83.8434
USDRUB;D;20230621;030000;83.6429
USDRUB;D;20230622;030000;80.9878
USDRUB;D;20230623;030000;83.6402
USDRUB;D;20230625;030000;82.63
USDRUB;D;20230626;030000;84.4086
USDRUB;D;20230627;030000;85.3731
USDRUB;D;20230628;030000;86.0051
USDRUB;D;20230629;030000;86.8506
USDRUB;D;20230630;030000;88.8
USDRUB;D;20230702;030000;88.8
USDRUB;D;20230703;030000;89.4958
USDRUB;D;20230704;030000;90.9932
USDRUB;D;20230705;030000;91.2449
USDRUB;D;20230706;030000;91.2528
USDRUB;D;20230707;030000;91.235
USDRUB;D;20230709;030000;90.24
USDRUB;D;20230710;030000;91.0966
USDRUB;D;20230711;030000;90.4903
USDRUB;D;20230712;030000;90.4984
USDRUB;D;20230713;030000;90.1198
USDRUB;D;20230714;030000;90.226
USDRUB;D;20230716;030000;90.226
USDRUB;D;20230717;030000;90.5998
USDRUB;D;20230718;030000;90.9925
USDRUB;D;20230719;030000;91.9445
USDRUB;D;20230720;030000;90.1012
USDRUB;D;20230721;030000;90.976
USDRUB;D;20230723;030000;90.976
USDRUB;D;20230724;030000;90.444
USDRUB;D;20230725;030000;90.1944
USDRUB;D;20230726;030000;89.9979
USDRUB;D;20230727;030000;90.6989
USDRUB;D;20230728;030000;92.0567
USDRUB;D;20230730;030000;92.035
USDRUB;D;20230731;030000;91.6459
USDRUB;D;20230801;030000;92.397
USDRUB;D;20230802;030000;94.0387
USDRUB;D;20230803;030000;94.4765
USDRUB;D;20230804;030000;95.862
USDRUB;D;20230806;030000;95.851
USDRUB;D;20230807;030000;95.3826
USDRUB;D;20230808;030000;97.2054
USDRUB;D;20230809;030000;96.8701
USDRUB;D;20230810;030000;97.0244
USDRUB;D;20230811;030000;98.527
USDRUB;D;20230813;030000;98.527
USDRUB;D;20230814;030000;95.98
USDRUB;D;20230815;030000;97.98
USDRUB;D;20230816;030000;96.33
USDRUB;D;20230817;030000;93.895
USDRUB;D;20230818;030000;92.98
USDRUB;D;20230820;030000;92.98
USDRUB;D;20230821;030000;93.4375
USDRUB;D;20230822;030000;93.23
USDRUB;D;20230823;030000;92.98
USDRUB;D;20230824;030000;94.726
USDRUB;D;20230825;030000;93.98
USDRUB;D;20230827;030000;94.976
USDRUB;D;20230828;030000;92.98
USDRUB;D;20230829;030000;95.4236
USDRUB;D;20230830;030000;96.126
USDRUB;D;20230831;030000;95.869
USDRUB;D;20230901;030000;96.4187
USDRUB;D;20230903;030000;95.385
USDRUB;D;20230904;030000;96.851
USDRUB;D;20230905;030000;96.74
USDRUB;D;20230906;030000;98.3957
USDRUB;D;20230907;030000;98.4928
USDRUB;D;20230908;030000;96.75
USDRUB;D;20230910;030000;97.902
USDRUB;D;20230911;030000;94.33
USDRUB;D;20230912;030000;95.9489
USDRUB;D;20230913;030000;95.213
USDRUB;D;20230914;030000;96.2692
USDRUB;D;20230915;030000;95.78
USDRUB;D;20230917;030000;96.726
USDRUB;D;20230918;030000;95.9449
USDRUB;D;20230919;030000;97.4954
USDRUB;D;20230920;030000;96.0181
USDRUB;D;20230921;030000;95.08
USDRUB;D;20230922;030000;95.28
USDRUB;D;20230924;030000;94.63
USDRUB;D;20230925;030000;95.8432
USDRUB;D;20230926;030000;96.576
USDRUB;D;20230927;030000;97.0718
USDRUB;D;20230928;030000;96.6536
USDRUB;D;20230929;030000;96.4802
USDRUB;D;20231001;030000;96.476
USDRUB;D;20231002;030000;99.2399
USDRUB;D;20231003;030000;100.0985
USDRUB;D;20231004;030000;100.332
USDRUB;D;20231005;030000;100.132
USDRUB;D;20231006;030000;100.992
USDRUB;D;20231008;030000;99.98
USDRUB;D;20231009;030000;98.25
USDRUB;D;20231010;030000;95.5468
USDRUB;D;20231011;030000;99.48
USDRUB;D;20231012;030000;97.7232
USDRUB;D;20231013;030000;97.7051
USDRUB;D;20231015;030000;97.525
USDRUB;D;20231016;030000;97.3483
USDRUB;D;20231017;030000;98.001
USDRUB;D;20231018;030000;97.451
USDRUB;D;20231019;030000;96.8436
USDRUB;D;20231020;030000;95.4391
USDRUB;D;20231022;030000;95.675
USDRUB;D;20231023;030000;94.4922
USDRUB;D;20231024;030000;93.451
USDRUB;D;20231025;030000;93.351
USDRUB;D;20231026;030000;93.626
USDRUB;D;20231027;030000;94.175
USDRUB;D;20231029;030000;94.425
USDRUB;D;20231030;030000;92.525
USDRUB;D;20231031;030000;93.3179
USDRUB;D;20231101;030000;92.55
USDRUB;D;20231102;030000;94.001
USDRUB;D;20231103;030000;92.8202
USDRUB;D;20231105;030000;91.704
USDRUB;D;20231106;030000;92.6088
USDRUB;D;20231107;030000;92.1005
USDRUB;D;20231108;030000;91.822
USDRUB;D;20231109;030000;91.679
USDRUB;D;20231110;030000;92.251
USDRUB;D;20231112;030000;92.251
USDRUB;D;20231113;030000;91.9044
USDRUB;D;20231114;030000;90.5
USDRUB;D;20231115;030000;89.4076
USDRUB;D;20231116;030000;89.326
USDRUB;D;20231117;030000;89.927
USDRUB;D;20231119;030000;88.89
USDRUB;D;20231120;030000;88.53
USDRUB;D;20231121;030000;88.1933
USDRUB;D;20231122;030000;88.3816
USDRUB;D;20231123;030000;88.2839
USDRUB;D;20231124;030000;89.2945
USDRUB;D;20231126;030000;89.476
USDRUB;D;20231127;030000;89.0698
USDRUB;D;20231128;030000;89.101
USDRUB;D;20231129;030000;88.6797
USDRUB;D;20231130;030000;90.076
USDRUB;D;20231201;030000;90.55
USDRUB;D;20231203;030000;90.55
USDRUB;D;20231204;030000;91.5165
USDRUB;D;20231205;030000;92.5939
USDRUB;D;20231206;030000;92.9162
USDRUB;D;20231207;030000;92.376
USDRUB;D;20231208;030000;91.826
USDRUB;D;20231210;030000;91.826
USDRUB;D;20231211;030000;91.1138
USDRUB;D;20231212;030000;90.2932
USDRUB;D;20231213;030000;89.3061
USDRUB;D;20231214;030000;89.451
USDRUB;D;20231215;030000;90.625
USDRUB;D;20231217;030000;90.425
USDRUB;D;20231218;030000;90.5204
USDRUB;D;20231219;030000;90.4653
USDRUB;D;20231220;030000;91.0968
USDRUB;D;20231221;030000;92.8924
USDRUB;D;20231222;030000;92.1147
USDRUB;D;20231225;030000;91.965
USDRUB;D;20231226;030000;91.62
USDRUB;D;20231227;030000;91.6478
USDRUB;D;20231228;030000;88.473
USDRUB;D;20231229;030000;89.351
USDRUB;D;20231231;030000;89.351
USDRUB;D;20240101;030000;89.351
USDRUB;D;20240102;030000;90.4273
USDRUB;D;20240103;030000;91.9928
USDRUB;D;20240104;030000;91.3444
USDRUB;D;20240105;030000;90.919
USDRUB;D;20240108;030000;90.8969
USDRUB;D;20240109;030000;89.5632
USDRUB;D;20240110;030000;89.3473
USDRUB;D;20240111;030000;88.4907
USDRUB;D;20240112;030000;87.938
USDRUB;D;20240114;030000;87.938
USDRUB;D;20240115;030000;87.7218
USDRUB;D;20240116;030000;88.086
USDRUB;D;20240117;030000;88.976
USDRUB;D;20240118;030000;89.414
USDRUB;D;20240119;030000;88.05
USDRUB;D;20240121;030000;88.05
USDRUB;D;20240122;030000;87.9932
USDRUB;D;20240123;030000;88.6173
USDRUB;D;20240124;030000;88.7529
USDRUB;D;20240125;030000;89.0221
USDRUB;D;20240126;030000;89.7408
USDRUB;D;20240129;030000;89.2778
USDRUB;D;20240130;030000;89.6309
USDRUB;D;20240131;030000;89.9626
USDRUB;D;20240201;030000;90.4669
USDRUB;D;20240202;030000;90.976
USDRUB;D;20240204;030000;90.625
USDRUB;D;20240205;030000;90.5515
USDRUB;D;20240206;030000;90.6761
USDRUB;D;20240207;030000;91.5993
USDRUB;D;20240208;030000;91.1689
